iter	Passed	Remaining
0	0	39
1	0	35
2	1	33
3	1	30
4	1	31
5	1	30
6	2	31
7	2	31
8	3	31
9	3	29
10	3	29
11	3	28
12	4	27
13	4	27
14	4	26
15	5	26
16	5	25
17	5	25
18	5	25
19	6	24
20	6	24
21	6	24
22	7	23
23	7	23
24	7	22
25	7	22
26	8	21
27	8	21
28	8	20
29	8	20
30	9	20
31	9	19
32	9	19
33	9	19
34	10	18
35	10	18
36	10	18
37	11	18
38	11	17
39	11	17
40	11	16
41	11	16
42	12	16
43	12	15
44	12	15
45	12	15
46	13	15
47	13	14
48	13	14
49	14	14
50	14	14
51	14	13
52	15	13
53	15	13
54	15	12
55	16	12
56	16	12
57	16	12
58	17	11
59	17	11
60	17	11
61	18	11
62	18	10
63	18	10
64	18	10
65	19	9
66	19	9
67	19	9
68	19	8
69	20	8
70	20	8
71	20	8
72	20	7
73	21	7
74	21	7
75	21	6
76	22	6
77	22	6
78	22	5
79	22	5
80	23	5
81	23	5
82	23	4
83	23	4
84	24	4
85	24	3
86	24	3
87	24	3
88	25	3
89	25	2
90	25	2
91	25	2
92	26	1
93	26	1
94	26	1
95	27	1
96	27	0
97	27	0
98	27	0
99	28	0
