iter	Passed	Remaining
0	61	60966
1	61	30679
2	61	20551
3	62	15500
4	62	12460
5	63	10444
6	63	9010
7	63	7919
8	64	7074
9	64	6400
10	65	5855
11	65	5400
12	65	5009
13	66	4671
14	66	4380
15	67	4128
16	67	3912
17	67	3707
18	68	3525
19	68	3363
20	68	3215
21	69	3107
22	70	2983
23	70	2871
24	70	2766
25	71	2673
26	71	2586
27	72	2503
28	72	2429
29	72	2356
30	73	2295
31	73	2234
32	74	2177
33	74	2124
34	75	2070
35	75	2019
36	75	1974
37	76	1930
38	76	1888
39	76	1847
40	77	1808
41	77	1769
42	78	1736
43	78	1707
44	78	1675
45	79	1644
46	79	1615
47	80	1588
48	80	1560
49	80	1534
50	81	1509
51	81	1485
52	81	1464
53	82	1443
54	82	1421
55	83	1400
56	83	1380
57	83	1362
58	84	1346
59	84	1330
60	85	1314
61	85	1296
62	85	1278
63	86	1262
64	86	1246
65	86	1230
66	87	1215
67	87	1201
68	88	1187
69	88	1175
70	88	1162
71	89	1149
72	89	1136
73	89	1125
74	90	1113
75	90	1102
76	91	1092
77	91	1082
78	91	1071
79	92	1060
80	92	1049
81	92	1038
82	92	1027
83	93	1019
84	93	1010
85	94	1003
86	94	994
87	95	985
88	95	976
89	95	968
90	96	960
91	96	952
92	96	945
93	97	938
94	97	930
95	98	923
96	98	915
97	98	908
98	99	901
99	99	895
100	99	890
101	100	883
102	100	876
103	100	869
104	101	863
105	101	856
106	101	850
107	102	844
108	102	838
109	102	833
110	103	828
111	103	823
112	104	818
113	104	813
114	105	809
115	105	804
116	105	798
117	106	793
118	106	788
119	106	783
120	107	778
121	107	772
122	107	768
123	108	764
124	108	760
125	108	755
126	109	751
127	109	746
128	109	742
129	110	738
130	110	734
131	111	731
132	111	728
133	112	724
134	112	720
135	112	716
136	113	712
137	113	708
138	113	705
139	114	701
140	114	698
141	114	694
142	115	690
143	115	687
144	116	684
145	116	682
146	117	679
147	117	676
148	117	672
149	118	669
150	118	666
151	118	663
152	119	660
153	119	657
154	119	653
155	120	651
156	120	649
157	121	647
158	121	643
159	122	641
160	122	637
161	122	635
162	123	633
163	123	631
164	124	628
165	124	625
166	124	622
167	125	619
168	125	618
169	126	615
170	126	613
171	126	610
172	127	608
173	127	606
174	128	604
175	128	601
176	129	600
177	129	598
178	130	596
179	130	594
180	131	593
181	131	591
182	132	589
183	132	588
184	133	586
185	133	584
186	134	582
187	134	580
188	134	578
189	135	576
190	135	574
191	136	572
192	136	570
193	136	568
194	137	567
195	138	567
196	138	565
197	139	563
198	139	561
199	140	560
200	140	558
201	140	556
202	141	554
203	141	553
204	142	552
205	142	550
206	143	549
207	143	548
208	144	547
209	144	545
210	145	543
211	145	541
212	146	540
213	146	538
214	147	537
215	147	535
216	147	533
217	148	531
218	148	529
219	149	528
220	149	526
221	149	525
222	150	523
223	150	521
224	150	519
225	151	518
226	151	516
227	152	515
228	152	513
229	152	512
230	153	510
231	153	509
232	154	507
233	154	506
234	154	504
235	155	503
236	155	502
237	156	500
238	156	499
239	157	497
240	157	496
241	157	494
242	158	493
243	158	492
244	159	491
245	159	489
246	160	488
247	160	486
248	161	485
249	161	484
250	161	483
251	162	481
252	162	480
253	163	479
254	163	477
255	163	476
256	164	475
257	164	473
258	165	472
259	165	471
260	165	469
261	166	468
262	166	467
263	167	466
264	167	464
265	167	463
266	168	461
267	168	460
268	169	459
269	169	458
270	170	457
271	170	456
272	171	455
273	171	454
274	171	453
275	172	452
276	172	451
277	173	450
278	173	448
279	174	447
280	174	446
281	174	445
282	175	443
283	175	442
284	175	441
285	176	439
286	176	438
287	176	437
288	177	435
289	177	434
290	177	433
291	178	432
292	178	430
293	178	429
294	179	428
295	179	427
296	179	425
297	180	424
298	180	422
299	180	421
300	181	420
301	181	419
302	181	417
303	182	416
304	182	415
305	182	414
306	182	413
307	183	411
308	183	410
309	183	409
310	184	408
311	184	406
312	184	406
313	185	404
314	185	403
315	186	402
316	186	401
317	186	400
318	187	399
319	187	398
320	187	397
321	188	396
322	188	395
323	189	394
324	189	393
325	189	392
326	190	391
327	190	390
328	190	389
329	191	387
330	191	386
331	191	385
332	192	384
333	192	383
334	192	382
335	193	381
336	193	380
337	193	379
338	193	378
339	194	377
340	194	376
341	194	374
342	195	373
343	195	372
344	195	371
345	196	370
346	196	369
347	196	368
348	197	367
349	197	366
350	197	365
351	198	364
352	198	364
353	199	364
354	199	363
355	200	362
356	200	361
357	201	360
358	201	359
359	201	358
360	201	357
361	202	356
362	202	355
363	202	354
364	203	353
365	203	352
366	204	351
367	204	351
368	204	349
369	205	349
370	205	348
371	205	347
372	205	346
373	206	345
374	206	344
375	207	343
376	207	342
377	207	341
378	208	340
379	208	339
380	208	339
381	209	338
382	209	337
383	209	336
384	210	335
385	210	334
386	210	333
387	211	334
388	212	333
389	212	332
390	212	331
391	213	330
392	213	329
393	213	329
394	214	328
395	214	327
396	214	326
397	215	325
398	215	324
399	215	323
400	216	322
401	216	322
402	216	321
403	217	320
404	217	319
405	217	318
406	218	318
407	218	317
408	218	316
409	219	315
410	219	314
411	219	313
412	220	312
413	220	312
414	220	311
415	221	311
416	222	310
417	222	310
418	223	309
419	223	309
420	224	308
421	224	307
422	225	306
423	225	306
424	225	305
425	226	304
426	226	303
427	226	302
428	227	302
429	227	302
430	228	301
431	228	300
432	229	300
433	229	299
434	229	298
435	230	297
436	230	297
437	230	296
438	231	295
439	231	294
440	231	293
441	232	293
442	232	292
443	232	291
444	233	290
445	233	289
446	233	289
447	234	288
448	234	287
449	234	286
450	235	286
451	235	285
452	235	284
453	236	283
454	236	283
455	236	282
456	237	281
457	237	281
458	237	280
459	238	279
460	238	279
461	238	278
462	239	277
463	239	276
464	239	275
465	240	275
466	240	274
467	240	273
468	241	273
469	241	272
470	242	271
471	242	271
472	242	270
473	242	269
474	243	268
475	243	268
476	243	267
477	244	266
478	244	265
479	244	265
480	245	264
481	245	263
482	245	263
483	246	262
484	246	261
485	246	261
486	247	260
487	247	259
488	247	259
489	248	258
490	248	257
491	248	256
492	249	256
493	249	255
494	249	254
495	250	254
496	250	253
497	250	252
498	251	252
499	251	251
500	251	250
501	252	250
502	252	249
503	252	248
504	253	248
505	253	247
506	253	246
507	254	246
508	254	245
509	254	244
510	255	244
511	255	243
512	255	242
513	256	242
514	256	241
515	256	240
516	257	240
517	257	239
518	257	238
519	258	238
520	258	237
521	258	236
522	259	236
523	259	235
524	259	234
525	259	234
526	260	233
527	260	232
528	260	232
529	261	231
530	261	230
531	261	230
532	262	229
533	262	228
534	262	228
535	262	227
536	263	227
537	263	226
538	263	225
539	264	224
540	264	224
541	264	223
542	265	223
543	265	222
544	265	221
545	266	221
546	266	220
547	266	220
548	267	219
549	267	218
550	267	218
551	268	217
552	268	216
553	268	216
554	269	215
555	269	215
556	269	214
557	270	213
558	270	213
559	270	212
560	271	212
561	271	211
562	271	210
563	272	210
564	272	209
565	272	209
566	272	208
567	273	207
568	273	207
569	273	206
570	274	205
571	274	205
572	274	204
573	275	204
574	275	203
575	275	203
576	276	202
577	277	202
578	277	201
579	277	201
580	278	200
581	278	199
582	278	199
583	279	198
584	279	198
585	279	197
586	280	197
587	280	196
588	280	195
589	281	195
590	281	194
591	281	194
592	282	193
593	282	192
594	282	192
595	282	191
596	283	191
597	283	190
598	283	189
599	284	189
600	284	188
601	284	188
602	284	187
603	285	187
604	285	186
605	286	185
606	286	185
607	286	184
608	287	184
609	287	183
610	287	183
611	287	182
612	288	181
613	288	181
614	288	180
615	289	180
616	289	179
617	290	179
618	290	178
619	290	178
620	290	177
621	291	176
622	291	176
623	291	175
624	292	175
625	292	174
626	292	174
627	293	173
628	293	173
629	293	172
630	294	171
631	294	171
632	294	170
633	295	170
634	295	169
635	295	169
636	295	168
637	296	168
638	296	167
639	296	166
640	297	166
641	297	165
642	297	165
643	298	164
644	298	164
645	298	163
646	298	163
647	299	162
648	299	162
649	300	161
650	300	161
651	300	160
652	301	160
653	301	159
654	301	158
655	302	158
656	302	157
657	302	157
658	303	156
659	303	156
660	303	155
661	303	155
662	304	154
663	304	154
664	304	153
665	305	153
666	305	152
667	305	152
668	306	151
669	306	151
670	306	150
671	307	149
672	307	149
673	307	148
674	308	148
675	308	147
676	308	147
677	308	146
678	309	146
679	309	145
680	309	145
681	310	144
682	310	144
683	310	143
684	311	143
685	311	142
686	311	141
687	311	141
688	312	140
689	312	140
690	312	139
691	312	139
692	313	138
693	313	138
694	313	137
695	314	137
696	314	136
697	314	136
698	314	135
699	315	135
700	315	134
701	315	134
702	316	133
703	316	132
704	316	132
705	317	132
706	317	131
707	317	130
708	317	130
709	318	129
710	318	129
711	318	128
712	318	128
713	319	127
714	319	127
715	319	126
716	319	126
717	320	125
718	320	125
719	320	124
720	321	124
721	321	123
722	321	123
723	322	122
724	322	122
725	322	121
726	323	121
727	323	120
728	323	120
729	324	119
730	324	119
731	325	119
732	325	118
733	325	118
734	326	117
735	326	117
736	326	116
737	327	116
738	327	115
739	327	115
740	328	114
741	328	114
742	328	113
743	328	113
744	329	112
745	329	112
746	329	111
747	330	111
748	330	110
749	330	110
750	331	109
751	331	109
752	331	108
753	332	108
754	332	107
755	332	107
756	332	106
757	333	106
758	333	105
759	333	105
760	334	104
761	334	104
762	334	103
763	335	103
764	335	103
765	335	102
766	335	102
767	336	101
768	336	101
769	337	100
770	337	100
771	337	99
772	338	99
773	338	98
774	338	98
775	339	97
776	339	97
777	339	96
778	340	96
779	340	96
780	340	95
781	341	95
782	341	94
783	341	94
784	342	93
785	342	93
786	342	92
787	342	92
788	343	91
789	343	91
790	343	90
791	344	90
792	344	89
793	344	89
794	345	89
795	345	88
796	345	88
797	346	87
798	346	87
799	346	86
800	347	86
801	347	85
802	347	85
803	348	84
804	348	84
805	348	83
806	348	83
807	349	83
808	349	82
809	350	82
810	350	81
811	350	81
812	351	80
813	351	80
814	351	79
815	352	79
816	352	78
817	352	78
818	353	78
819	353	77
820	353	77
821	354	76
822	354	76
823	354	75
824	354	75
825	355	74
826	355	74
827	355	73
828	356	73
829	356	72
830	356	72
831	357	72
832	357	71
833	357	71
834	357	70
835	358	70
836	358	69
837	358	69
838	359	68
839	359	68
840	359	68
841	360	67
842	360	67
843	360	66
844	361	66
845	361	65
846	361	65
847	362	64
848	362	64
849	362	64
850	363	63
851	363	63
852	364	62
853	364	62
854	364	61
855	364	61
856	365	60
857	365	60
858	365	60
859	366	59
860	366	59
861	366	58
862	367	58
863	367	57
864	367	57
865	368	56
866	368	56
867	368	56
868	369	55
869	369	55
870	370	54
871	370	54
872	370	53
873	371	53
874	371	53
875	371	52
876	372	52
877	372	51
878	372	51
879	373	50
880	373	50
881	373	49
882	373	49
883	374	49
884	374	48
885	374	48
886	375	47
887	375	47
888	375	46
889	376	46
890	376	46
891	376	45
892	377	45
893	377	44
894	377	44
895	378	43
896	378	43
897	378	43
898	379	42
899	379	42
900	379	41
901	380	41
902	380	40
903	380	40
904	381	40
905	381	39
906	381	39
907	382	38
908	382	38
909	383	37
910	383	37
911	384	37
912	384	36
913	384	36
914	385	35
915	385	35
916	385	34
917	386	34
918	386	34
919	386	33
920	387	33
921	387	32
922	387	32
923	388	31
924	388	31
925	388	31
926	389	30
927	389	30
928	389	29
929	390	29
930	390	28
931	390	28
932	391	28
933	391	27
934	391	27
935	392	26
936	392	26
937	392	25
938	393	25
939	393	25
940	393	24
941	393	24
942	394	23
943	394	23
944	394	22
945	395	22
946	395	22
947	395	21
948	396	21
949	396	20
950	396	20
951	397	20
952	397	19
953	397	19
954	398	18
955	398	18
956	398	17
957	399	17
958	399	17
959	399	16
960	400	16
961	400	15
962	400	15
963	401	14
964	401	14
965	401	14
966	402	13
967	402	13
968	402	12
969	403	12
970	403	12
971	403	11
972	403	11
973	404	10
974	404	10
975	405	9
976	405	9
977	405	9
978	406	8
979	406	8
980	406	7
981	407	7
982	407	7
983	407	6
984	408	6
985	408	5
986	408	5
987	409	4
988	410	4
989	410	4
990	410	3
991	411	3
992	411	2
993	411	2
994	412	2
995	412	1
996	412	1
997	412	0
998	413	0
999	413	0
